mapping_period,old_poz_no,new_poz_no,source_url,evidence,mapping_type
2026,25.175.1106,25.175.1701,https://webdosya.csb.gov.tr/v2/yfk/2026/02/de-i-en-0302261018-20260204093427.pdf,25.175.1106 25.175.1701 25.455.1100,official
2026,25.175.1107,25.175.1702,https://webdosya.csb.gov.tr/v2/yfk/2026/02/de-i-en-0302261018-20260204093427.pdf,25.175.1107 25.175.1702,official
2026,25.175.1108,25.175.1703,https://webdosya.csb.gov.tr/v2/yfk/2026/02/de-i-en-0302261018-20260204093427.pdf,25.175.1108 25.175.1703,official
2026,25.175.1109,25.175.1704,https://webdosya.csb.gov.tr/v2/yfk/2026/02/de-i-en-0302261018-20260204093427.pdf,25.175.1109 25.175.1704,official
2026,25.175.1110,25.175.1705,https://webdosya.csb.gov.tr/v2/yfk/2026/02/de-i-en-0302261018-20260204093427.pdf,25.175.1110 25.175.1705,official
2026,25.175.1111,25.175.1706,https://webdosya.csb.gov.tr/v2/yfk/2026/02/de-i-en-0302261018-20260204093427.pdf,25.175.1111 25.175.1706,official
2026,25.175.1112,25.175.1707,https://webdosya.csb.gov.tr/v2/yfk/2026/02/de-i-en-0302261018-20260204093427.pdf,25.175.1112 25.175.1707,official
2026,25.175.1400,25.175.1708,https://webdosya.csb.gov.tr/v2/yfk/2026/02/de-i-en-0302261018-20260204093427.pdf,25.175.1400 25.175.1708,official
2026,25.175.1401,25.175.1709,https://webdosya.csb.gov.tr/v2/yfk/2026/02/de-i-en-0302261018-20260204093427.pdf,25.175.1401 25.175.1709,official
2026,25.175.1402,25.175.1710,https://webdosya.csb.gov.tr/v2/yfk/2026/02/de-i-en-0302261018-20260204093427.pdf,25.175.1402 25.175.1710,official
2026,25.175.1403,25.175.1711,https://webdosya.csb.gov.tr/v2/yfk/2026/02/de-i-en-0302261018-20260204093427.pdf,25.175.1403 25.175.1711,official
2026,25.175.1404,25.175.1712,https://webdosya.csb.gov.tr/v2/yfk/2026/02/de-i-en-0302261018-20260204093427.pdf,25.175.1404 25.175.1712,official
2026,25.175.1405,25.175.1713,https://webdosya.csb.gov.tr/v2/yfk/2026/02/de-i-en-0302261018-20260204093427.pdf,25.175.1405 25.175.1713,official
2026,25.175.1406,25.178.1000,https://webdosya.csb.gov.tr/v2/yfk/2026/02/de-i-en-0302261018-20260204093427.pdf,25.175.1406 25.178.1000,official
2026,25.175.1407,25.266.1000,https://webdosya.csb.gov.tr/v2/yfk/2026/02/de-i-en-0302261018-20260204093427.pdf,25.175.1407 25.266.1000,official
2026,25.175.1408,25.288.5200,https://webdosya.csb.gov.tr/v2/yfk/2026/02/de-i-en-0302261018-20260204093427.pdf,25.175.1408 25.288.5200,official
2026,25.175.1409,25.305.2101,https://webdosya.csb.gov.tr/v2/yfk/2026/02/de-i-en-0302261018-20260204093427.pdf,25.175.1409 25.305.2101,official
2026,25.175.1410,25.305.2102,https://webdosya.csb.gov.tr/v2/yfk/2026/02/de-i-en-0302261018-20260204093427.pdf,25.175.1410 25.305.2102,official
2026,25.175.1411,25.305.2103,https://webdosya.csb.gov.tr/v2/yfk/2026/02/de-i-en-0302261018-20260204093427.pdf,25.175.1411 25.305.2103,official
2026,25.175.1412,25.305.2104,https://webdosya.csb.gov.tr/v2/yfk/2026/02/de-i-en-0302261018-20260204093427.pdf,25.175.1412 25.305.2104,official
2026,25.175.1413,25.305.2105,https://webdosya.csb.gov.tr/v2/yfk/2026/02/de-i-en-0302261018-20260204093427.pdf,25.175.1413 25.305.2105,official
2026,25.175.1414,25.305.2106,https://webdosya.csb.gov.tr/v2/yfk/2026/02/de-i-en-0302261018-20260204093427.pdf,25.175.1414 25.305.2106,official
2026,25.175.1500,25.305.2107,https://webdosya.csb.gov.tr/v2/yfk/2026/02/de-i-en-0302261018-20260204093427.pdf,25.175.1500 25.305.2107,official
2026,25.175.1501,25.305.2108,https://webdosya.csb.gov.tr/v2/yfk/2026/02/de-i-en-0302261018-20260204093427.pdf,25.175.1501 25.305.2108,official
